,ARSON,BURGLARY,COUNTY,FAMILY,GANG,INSTITUTIONAL,MULT_VICTIMS,RAPE,ROBBERY,SNIPER,YEAR
125,0,0,14,25,3,0,18,0,2,0,2010
126,0,0,14,15,8,0,10,1,6,0,2009
127,0,0,14,12,0,0,5,0,2,0,2008
128,0,1,14,18,0,0,21,0,1,0,2007
129,0,7,14,18,1,0,8,0,5,0,2006
130,0,0,12,9,0,0,9,0,8,0,2015
131,0,0,12,8,0,0,9,0,2,0,2014
132,0,0,12,7,6,0,10,0,0,0,2013
133,0,0,12,5,1,0,3,0,4,0,2012
134,0,4,12,11,0,0,10,0,7,0,2011
135,0,1,12,9,5,0,7,1,3,0,2010
136,0,0,12,5,1,0,7,1,5,0,2009
137,0,1,12,13,0,0,5,0,3,0,2008
138,0,0,12,13,0,0,11,0,1,0,2007
139,0,0,12,10,0,0,7,0,8,0,2006
140,1,2,15,38,12,0,25,1,24,0,2015
141,0,0,15,39,10,1,34,0,20,0,2014
142,0,3,15,40,10,1,29,0,15,0,2013
143,0,1,15,32,7,0,30,0,8,0,2012
144,0,3,15,36,5,0,21,0,20,0,2011
145,1,1,15,32,6,0,38,1,21,0,2010
146,0,6,15,35,20,0,29,0,21,0,2009
147,0,2,15,29,4,0,30,0,16,0,2008
148,0,9,15,28,0,0,29,2,22,0,2007
149,0,2,15,42,2,0,24,0,29,0,2006
150,0,4,16,48,3,6,54,0,39,0,2015
151,4,3,16,32,6,0,42,0,50,0,2014
152,0,1,16,37,15,0,50,2,60,0,2013
153,0,0,16,56,7,1,58,2,59,0,2012
154,0,1,16,36,3,0,44,2,87,0,2011
155,1,1,16,37,0,1,53,4,50,0,2010
156,1,4,16,53,4,0,52,3,40,0,2009
157,1,3,16,39,1,0,63,3,66,0,2008
158,3,5,16,54,2,1,45,1,64,0,2007
159,1,2,16,37,16,2,47,4,73,0,2006
160,0,0,17,18,0,0,25,0,12,0,2015
161,0,3,17,18,0,0,23,0,13,0,2014
162,1,1,17,19,1,0,16,0,11,0,2013
163,0,3,17,23,2,0,13,0,17,0,2012
164,1,1,17,17,1,1,13,0,7,0,2011
165,0,0,17,23,1,0,10,0,13,0,2010
166,1,6,17,20,7,0,11,1,11,0,2009
167,0,0,17,24,2,0,17,0,14,0,2008
168,0,3,17,26,2,1,17,0,21,0,2007
169,1,1,17,19,3,0,15,0,12,0,2006
170,0,6,18,23,1,2,27,0,23,0,2015
171,0,11,18,26,4,1,14,0,1,0,2014
172,0,4,18,20,6,0,14,1,3,0,2013
173,1,3,18,26,0,0,34,0,4,0,2012
174,0,6,18,26,4,1,27,0,15,0,2011
175,0,2,18,26,4,0,22,2,11,0,2010
176,1,3,18,28,6,0,33,3,17,0,2009
177,0,7,18,19,0,0,18,1,13,0,2008
178,0,1,18,26,3,0,30,1,9,0,2007
179,0,0,18,18,2,0,19,1,8,0,2006
180,4,2,19,66,0,3,32,0,19,0,2015
181,2,0,19,51,0,2,41,1,28,0,2014
182,2,0,19,48,1,0,42,1,41,0,2013
183,2,2,19,48,6,2,45,0,26,0,2012
184,1,1,19,50,7,2,53,0,32,0,2011
185,0,4,19,59,2,2,50,0,19,0,2010
186,1,2,19,59,2,1,65,1,40,0,2009
187,3,0,19,53,0,1,64,0,35,0,2008
188,3,1,19,60,0,3,69,0,38,0,2007
189,0,4,19,61,1,6,62,0,42,0,2006
190,0,1,21,18,1,0,17,0,4,0,2015
191,0,2,21,13,1,0,8,0,4,0,2014
192,0,1,21,21,0,0,10,0,0,0,2013
193,0,8,21,11,0,0,7,0,8,0,2012
194,0,0,21,15,2,0,22,0,3,0,2011
195,0,0,21,13,1,0,7,0,8,0,2010
196,0,1,21,15,0,0,12,0,2,0,2009
197,0,1,21,13,1,0,16,0,12,0,2008
198,3,1,21,21,12,0,16,0,18,0,2007
199,0,0,21,13,0,1,7,0,15,0,2006
200,0,0,22,9,0,0,11,0,3,0,2015
201,0,0,22,9,0,0,7,0,8,0,2014
202,0,0,22,8,0,0,3,0,6,0,2013
203,0,2,22,12,4,0,2,0,10,0,2012
204,0,0,22,5,0,0,2,0,7,0,2011
205,0,0,22,6,0,0,2,0,11,0,2010
206,0,1,22,9,0,0,8,0,7,0,2009
207,1,1,22,5,0,0,10,0,4,0,2008
208,0,0,22,13,0,0,5,0,12,0,2007
209,1,1,22,12,0,0,3,0,14,0,2006
210,1,2,23,13,0,0,11,0,15,0,2015
211,0,0,23,23,0,0,8,2,2,0,2014
212,1,0,23,15,0,1,4,1,14,0,2013
213,1,1,23,12,0,0,15,0,3,0,2012
214,0,1,23,15,0,0,9,0,8,0,2011
